,m (g),r (cm),rho (g cm-3),T (K),P (dyne cm-2),l (erg s-1),epsilon (erg g-1 s-1),epsilon_pp (erg g-1 s-1),epsilon_CNO (erg g-1 s-1),kappa (cm2 g-1),del_ad,del_rad,del,nature of energy transport
265,5.809554109242423e+32,13913960040.243567,37.03339777564393,9710637.881749507,4.8236964468170344e+16,2.7784951808799355e+33,1.405422917575295,1.4053275352094485,9.538236584654368e-05,2.6888401826297783,0.39944383045196813,0.27515097594081134,0.27515097594081134,radiative
266,5.831476954929421e+32,13938307616.460052,36.933035517432685,9700648.95002549,4.805674676550661e+16,2.781566924308128e+33,1.3949264822262772,1.3948335946230397,9.288760323746225e-05,2.6928346109214782,0.39944403763702907,0.27492999985666544,0.27492999985666544,radiative
267,5.8533998006164196e+32,13962638215.244661,36.83285865596136,9690673.047716048,4.7877103500849784e+16,2.784615880298236e+33,1.3845044364638546,1.3844139787519825,9.04577118721119e-05,2.696830082619809,0.399444242970729,0.2747091229328976,0.2747091229328976,radiative
268,5.875322646303418e+32,13986951994.846277,36.73286686668858,9680710.112577848,4.769803267529044e+16,2.7876421960712864e+33,1.374156245696351,1.374068154690865,8.809100548588721e-05,2.7008266091897033,0.3994444464580626,0.274488342786419,0.274488342786419,radiative
269,5.897245491990416e+32,14011249114.077164,36.63305982323787,9670760.082635155,4.751953229587664e+16,2.7906460182159224e+33,1.3638813794244584,1.3637955935825843,8.578584187403639e-05,2.7048242020441955,0.399444648103935,0.27426765710083034,0.27426765710083034,radiative
270,5.919168337677414e+32,14035529732.312977,36.533437197418266,9660822.896179834,4.734160037561391e+16,2.793627492688407e+33,1.3536793112081482,1.3535957705864194,8.354062172876839e-05,2.7088228725421883,0.39944484791315876,0.27404706362364617,0.27404706362364617,radiative
271,5.941091183364412e+32,14059794009.49275,36.4339986592452,9650898.491771348,4.71642349334653e+16,2.796586764812622e+33,1.343549518633872,1.3434681648463644,8.135378750748063e-05,2.7128226319862656,0.3994450458904579,0.27382656016358004,0.27382656016358004,radiative
272,5.96301402905141e+32,14084042106.118906,36.334743876961156,9640986.80823676,4.698743399435129e+16,2.799523979280064e+33,1.3334914832820264,1.333412259459695,7.922382233127467e-05,2.7168234916204184,0.39944524204046344,0.2736061445878754,0.2736061445878754,radiative
273,5.984936874738408e+32,14108274183.25725,36.235672517056685,9631087.784670731,4.6811195589149896e+16,2.802439280149852e+33,1.3235046906947152,1.3234275414458023,7.714924891291443e-05,2.720825462627816,0.3994454363677177,0.2733858148196969,0.2733858148196969,radiative
274,6.006859720425406e+32,14132490402.536974,36.13678424429111,9621201.360435529,4.663551775469659e+16,2.80533281084872e+33,1.3135886303437707,1.3135135017152573,7.51286285134358e-05,2.724828556128542,0.39944562887667,0.27316556883556864,0.27316556883556864,radiative
275,6.028782566112405e+32,14156690926.15065,36.0380787217136,9611327.47516101,4.6460398533784344e+16,2.808204714171021e+33,1.3037427955990286,1.303669635039102,7.316055992663472e-05,2.728832783177352,0.3994458195716787,0.2729454046628693,0.2729454046628693,radiative
276,6.050705411799403e+32,14180875916.854237,35.9395556106841,9601466.068744639,4.628583597516362e+16,2.811055132278727e+33,1.2939666836969312,1.2938954400184406,7.124367849067582e-05,2.7328381547613527,0.3994460084570108,0.2727253203773659,0.2727253203773659,radiative
277,6.072628257486401e+32,14205045537.967077,35.84121457089431,9591617.081351478,4.611182813354234e+16,2.813884206701427e+33,1.2842597957093267,1.2841904190542006,6.937665512606225e-05,2.736844681797727,0.39944619553684035,0.2725053141008038,0.2725053141008038,radiative
278,6.0945511031733994e+32,14229199953.371902,35.7430552603888,9581780.453414185,4.593837306958593e+16,2.816692078336329e+33,1.274621636512575,1.2745540783171758,6.755819539930247e-05,2.7408523751314577,0.3994463808152501,0.27228538399854446,0.27228538399854446,radiative
279,6.1164739488603975e+32,14253339327.514824,35.64507733558613,9571956.125633022,4.576546884991731e+16,2.8194788874482586e+33,1.2650517147569018,1.2649859277182902,6.578703861151599e-05,2.7448612455329866,0.3994465642962302,0.272065528277243,0.272065528277243,radiative
280,6.1383967945473956e+32,14277463825.405336,35.547280451299905,9562144.038975848,4.559311354711686e+16,2.822244773669659e+33,1.2555495428360084,1.255485480879097,6.406195691135092e-05,2.7488713036958865,0.39944674598367785,0.27184574518257304,0.27184574518257304,radiative
281,6.160319640234394e+32,14301573612.616323,35.44966426076005,9552344.134678124,4.542130523972247e+16,2.824989876000593e+33,1.2461146368569456,1.246052255102514,6.238175443152747e-05,2.752882560234556,0.3994469258813971,0.27162603299699883,0.27162603299699883,radiative
282,6.1822424859213926e+32,14325668855.284052,35.352228415634045,9542556.354242906,4.5250042012229496e+16,2.8277143328087404e+33,1.2367465166102387,1.2366857713437904,6.0745266448382965e-05,2.7568950256818328,0.3994471039930995,0.2714063900375838,0.2714063900375838,radiative
283,6.204165331608391e+32,14349749720.10817,35.254972566048124,9532780.639440853,4.50793219550908e+16,2.830418281829399e+33,1.2274447055402524,1.2273855541816887,5.915135856377991e-05,2.7609087104866883,0.39944728032240223,0.2711868146538487,0.2711868146538487,radiative
284,6.226088177295389e+32,14373816374.351713,35.15789636060864,9523016.932310227,4.49091431647167e+16,2.8331018601654855e+33,1.21820873071582,1.2181511317899112,5.7598925908796953e-05,2.7649236250118077,0.39944745487283,0.27096730522566076,0.27096730522566076,radiative
285,6.248011022982387e+32,14397868985.8411,35.06099944642344,9513265.175156882,4.473950374347504e+16,2.8357652042875343e+33,1.2090381228011076,1.2089820359087389,5.608689236858091e-05,2.7689397795312463,0.3994476276478121,0.27074786016117314,0.27074786016117314,radiative
286,6.269933868669385e+32,14421907722.966137,34.9642814691232,9503525.310554275,4.45704017996911e+16,2.8384084500336974e+33,1.1999324160267362,1.1998778018169083,5.46142098278215e-05,2.772957184228013,0.39944779865068514,0.27052847789479434,0.27052847789479434,radiative
287,6.291856714356383e+32,14445932754.680012,34.86774207288289,9493797.281343466,4.440183544764769e+16,2.841031732609747e+33,1.1908911481611306,1.1908379683036943,5.317985743627034e-05,2.776975849191691,0.39944796788468934,0.2703091568852025,0.2703091568852025,radiative
288,6.313779560043381e+32,14469944250.499296,34.77138090044328,9484081.030633107,4.423380280758507e+16,2.84363518658907e+33,1.181913860482109,1.1818620776412152,5.178284089376379e-05,2.7809957844160085,0.39944813535297163,0.2700898956133938,0.2700898956133938,radiative
289,6.33570240573038e+32,14493942380.50395,34.67519759313244,9474376.501799457,4.4066302005701016e+16,2.8462189459126753e+33,1.1730000977487216,1.1729496755569673,5.0422191754241486e-05,2.785016999796425,0.3994483010585841,0.26987069258076707,0.26987069258076707,radiative
290,6.357625251417378e+32,14517927315.337313,34.57919179088724,9464683.638486369,4.3899331174150776e+16,2.8487831438891864e+33,1.1641494081733186,1.1641003112065704,4.909696674822572e-05,2.789039505127678,0.3994484650044824,0.26965154630724486,0.26965154630724486,radiative
291,6.379548097104376e+32,14541899226.20611,34.48336313227503,9455002.384605298,4.373288845104707e+16,2.851327913194847e+33,1.1553613433938457,1.1553135371467225,4.780624712327696e-05,2.7930633101013687,0.39944862719352653,0.2694324553294312,0.2694324553294312,radiative
292,6.401470942791374e+32,14565858284.880455,34.387711254515224,9445332.6843353,4.3566971980460136e+16,2.8538533858735196e+33,1.146635458446374,1.146588909308372,4.6549138001940114e-05,2.7970884243034586,0.39944878762848224,0.2692134181987984,0.2692134181987984,radiative
